measure,location,sex,age,metric,year,val,upper,lower
HALE (Healthy life expectancy),Serbia,Female,All Ages,Years,2017,66.89773023850951,69.55419714210579,63.834991529024
HALE (Healthy life expectancy),Slovakia,Male,All Ages,Years,2017,63.65149793606146,66.28487978656264,60.70057629760969
HALE (Healthy life expectancy),Slovakia,Female,All Ages,Years,2017,68.90696789641268,71.78827448107853,65.65943293505023
HALE (Healthy life expectancy),Slovenia,Male,All Ages,Years,2017,66.27608816366116,69.16749493419573,63.003713692815076
HALE (Healthy life expectancy),Slovenia,Female,All Ages,Years,2017,71.19484044112424,74.39175643396027,67.55011777475373
HALE (Healthy life expectancy),Belarus,Male,All Ages,Years,2017,60.276417991132966,62.590524457635354,57.71162905499031
HALE (Healthy life expectancy),Belarus,Female,All Ages,Years,2017,67.33704512908417,70.15755656502117,64.06389832422205
HALE (Healthy life expectancy),Estonia,Male,All Ages,Years,2017,63.78755608523394,66.60908946656835,60.81062016928231
HALE (Healthy life expectancy),Estonia,Female,All Ages,Years,2017,69.95593621818803,73.39561940469139,66.50310687628998
HALE (Healthy life expectancy),Latvia,Male,All Ages,Years,2017,60.94657125430378,63.58700910860134,58.17116504812523
HALE (Healthy life expectancy),Latvia,Female,All Ages,Years,2017,67.98398422762344,71.00680986101342,64.63622547412727
HALE (Healthy life expectancy),Lithuania,Male,All Ages,Years,2017,60.389332992541064,62.82105128214789,57.65400939777742
HALE (Healthy life expectancy),Lithuania,Female,All Ages,Years,2017,68.14208679872333,71.15693372659848,64.84583896459525
HALE (Healthy life expectancy),Moldova,Male,All Ages,Years,2017,59.645488327198095,61.766952138616745,57.15615081285904
HALE (Healthy life expectancy),Moldova,Female,All Ages,Years,2017,66.23036694775803,69.01053178503874,63.11685811800951
HALE (Healthy life expectancy),Russian Federation,Male,All Ages,Years,2017,58.420381703875115,60.5436808269135,56.02638925126431
HALE (Healthy life expectancy),Russian Federation,Female,All Ages,Years,2017,65.79525885445929,68.60693121054449,62.5527315041871
HALE (Healthy life expectancy),Ukraine,Male,All Ages,Years,2017,56.68254380922338,58.79214616318095,54.446905989855786
HALE (Healthy life expectancy),Ukraine,Female,All Ages,Years,2017,65.35989393335464,68.06201095585374,62.10239916405496
HALE (Healthy life expectancy),Brunei,Male,All Ages,Years,2017,64.97292301067867,67.28389840382667,62.40989293298654
HALE (Healthy life expectancy),Brunei,Female,All Ages,Years,2017,67.45122882630993,70.01722910667353,64.51583813220032
HALE (Healthy life expectancy),Japan,Male,All Ages,Years,2017,71.4127711821896,73.83256455666506,68.60398769662868
HALE (Healthy life expectancy),Japan,Female,All Ages,Years,2017,74.64817417404718,77.75555730376209,71.13898193848581
HALE (Healthy life expectancy),South Korea,Male,All Ages,Years,2017,69.74253532169551,72.08634270397135,66.99878180295434
HALE (Healthy life expectancy),South Korea,Female,All Ages,Years,2017,73.45363734377484,76.5261288745951,69.96466562342447
HALE (Healthy life expectancy),Singapore,Male,All Ages,Years,2017,72.58145360539672,75.00243095123182,69.81724324868586
HALE (Healthy life expectancy),Singapore,Female,All Ages,Years,2017,75.81357889565878,78.74654030470766,72.41718278263444
HALE (Healthy life expectancy),Australia,Male,All Ages,Years,2017,69.08200396217737,71.97330223765454,65.78265631458
HALE (Healthy life expectancy),Australia,Female,All Ages,Years,2017,71.68544574824011,74.90762543117559,67.95682302723517
HALE (Healthy life expectancy),New Zealand,Male,All Ages,Years,2017,68.02174983084062,70.96911263080068,64.64623956919408
HALE (Healthy life expectancy),New Zealand,Female,All Ages,Years,2017,70.07394943677058,73.35036178199775,66.09915652643897
HALE (Healthy life expectancy),Andorra,Male,All Ages,Years,2017,70.11272871316734,72.80256320794207,67.11595069634639
HALE (Healthy life expectancy),Andorra,Female,All Ages,Years,2017,72.42159609580189,75.78254004712247,68.63826883557532
HALE (Healthy life expectancy),Austria,Male,All Ages,Years,2017,69.132835457269,71.79179989140454,66.15457863240839
HALE (Healthy life expectancy),Austria,Female,All Ages,Years,2017,71.66013410832,74.75422402854825,68.1798599524311
HALE (Healthy life expectancy),Belgium,Male,All Ages,Years,2017,68.28736420090645,70.97190233582684,65.16879494880202
HALE (Healthy life expectancy),Belgium,Female,All Ages,Years,2017,70.91494138632247,74.14241444485144,67.31416418791018
HALE (Healthy life expectancy),Cyprus,Male,All Ages,Years,2017,68.78619397142157,71.39804321303906,65.87637144023641
HALE (Healthy life expectancy),Cyprus,Female,All Ages,Years,2017,72.75339885080362,75.96391640715204,69.09881765208408
HALE (Healthy life expectancy),Denmark,Male,All Ages,Years,2017,68.6039432861441,71.27074598107085,65.55512599226569
HALE (Healthy life expectancy),Denmark,Female,All Ages,Years,2017,70.63622909448495,73.59945490469562,67.18956208486439
HALE (Healthy life expectancy),Finland,Male,All Ages,Years,2017,67.99671652348144,70.67488569988959,64.93416331363112
HALE (Healthy life expectancy),Finland,Female,All Ages,Years,2017,71.53503230646054,74.75315631565212,67.91865515447563
HALE (Healthy life expectancy),France,Male,All Ages,Years,2017,69.97714343097759,72.53245209908685,67.17650208431328
HALE (Healthy life expectancy),France,Female,All Ages,Years,2017,73.42418573668338,76.45673373052391,69.91732369000256
HALE (Healthy life expectancy),Germany,Male,All Ages,Years,2017,68.26243922440652,70.90426569675596,65.20603458599008
HALE (Healthy life expectancy),Germany,Female,All Ages,Years,2017,70.82556138239133,74.08582412689529,67.23397583829089
HALE (Healthy life expectancy),Greece,Male,All Ages,Years,2017,68.60517590757014,71.10978914422401,65.83012708581295
HALE (Healthy life expectancy),Greece,Female,All Ages,Years,2017,71.27704286091061,74.35064151284078,67.80108032102098
HALE (Healthy life expectancy),Iceland,Male,All Ages,Years,2017,69.60139988899661,72.22474226141716,66.489291614989
HALE (Healthy life expectancy),Iceland,Female,All Ages,Years,2017,73.09704858034216,76.23470672335861,69.51921017554932
HALE (Healthy life expectancy),Ireland,Male,All Ages,Years,2017,69.39996725362194,72.0441714715232,66.27480995219639
HALE (Healthy life expectancy),Ireland,Female,All Ages,Years,2017,71.30523300486664,74.35765186298777,67.75005359437208
HALE (Healthy life expectancy),Israel,Male,All Ages,Years,2017,70.60148632336355,73.3971902376011,67.61182325581954
HALE (Healthy life expectancy),Israel,Female,All Ages,Years,2017,72.10430207662479,75.20220836599084,68.56748328515863
HALE (Healthy life expectancy),Italy,Male,All Ages,Years,2017,70.6329384576688,73.26098232534467,67.69954038122647
HALE (Healthy life expectancy),Italy,Female,All Ages,Years,2017,72.9673146473608,76.04986131479991,69.46042639692297
HALE (Healthy life expectancy),Luxembourg,Male,All Ages,Years,2017,68.95277959466928,71.93315442667163,65.59777446516092
