"id","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"BEL",5.6564,5.5164,5.2418,4.9783,4.7258,4.4844,4.2545,4.0364,3.8305,3.6382,3.4605,3.2985,3.1527,3.0227,2.9069,2.8033,2.7094,2.6223,2.5384,2.4552,2.3694,2.2789,2.1839,2.0854,1.9842,1.8818,1.7808,1.6839,1.5934,1.5105,1.4361,1.3702,1.3114,1.2582,1.2099,1.1662,1.127,1.0918,1.0595,1.0285,0.9963,0.9604,0.9196,0.8739,0.824,0.7719,0.7204,0.6726,0.6309,0.5963,0.5691,0.5484,0.5323,0.5186,0.5066,0.4956,0.4852,0.4758,0.467,0.4585,0.4495,0.4395,0.4284,0.4161,0.4027,0.3884
"BEN",35.956,35.6795,35.1285,34.5815,34.0384,33.4995,32.965,32.4355,31.912,31.3962,30.8904,30.3964,29.9161,29.4507,28.9999,28.5647,28.1461,27.7408,27.3437,26.9487,26.5459,26.1242,25.6787,25.2085,24.7162,24.2091,23.6984,23.1966,22.714,22.2554,21.8238,21.4188,21.0327,20.6575,20.2884,19.9177,19.538,19.1463,18.7426,18.3285,17.9099,17.4955,17.0939,16.7109,16.3479,16.0033,15.6726,15.3482,15.0234,14.6952,14.3601,14.0161,13.6656,13.3124,12.9599,12.6132,12.2781,11.9591,11.6594,11.3807,11.1231,10.8848,10.6612,10.4482,10.2436,10.0458
"BFA",38.6973,38.4224,37.8792,37.349,36.8318,36.3272,35.8341,35.3511,34.8755,34.4021,33.9257,33.4411,32.9445,32.4351,31.9166,31.4002,30.9006,30.4284,29.9884,29.5786,29.1915,28.8151,28.4332,28.0317,27.6025,27.1354,26.623,26.072,25.4939,24.9005,24.3083,23.7356,23.1982,22.7089,22.2761,21.9068,21.6029,21.352,21.1395,20.9542,20.783,20.6135,20.4358,20.2411,20.022,19.7798,19.5225,19.2562,18.9802,18.6849,18.35,17.9512,17.4737,16.9119,16.2693,15.5522,14.7727,13.9581,13.1388,12.3398,11.5897,10.9122,10.3135,9.795,9.3571,8.9929
"BGD",34.9206,34.3698,33.2933,32.2667,31.2901,30.3626,29.4817,28.6462,27.8525,27.093,26.3616,25.6555,24.9775,24.3419,23.7744,23.3514,23.1647,23.2435,23.5672,24.0747,24.6319,25.0697,25.2529,25.1001,24.5973,23.7987,22.8179,21.8135,20.9096,20.1547,19.5609,19.0975,18.6846,18.2574,17.7959,17.2887,16.7364,16.1573,15.5676,14.9717,14.3743,13.7787,13.187,12.6012,12.024,11.4553,10.8936,10.3374,9.7874,9.2467,8.7199,8.2118,7.7265,7.2673,6.836,6.4326,6.0552,5.7004,5.3655,5.0501,4.7559,4.4853,4.24,4.0199,3.8234,3.6479
"BGR",13.089,12.7252,11.9899,11.2395,10.4739,9.6943,8.9051,8.1123,7.3275,6.5709,5.8655,5.235,4.7017,4.2786,3.9647,3.7483,3.6069,3.5075,3.4219,3.3345,3.2377,3.1327,3.0306,2.9391,2.8565,2.7797,2.7051,2.6295,2.5506,2.4676,2.3796,2.2865,2.1913,2.0982,2.0105,1.9343,1.8757,1.8371,1.8189,1.8195,1.8359,1.8637,1.8955,1.9242,1.9445,1.9512,1.9409,1.9143,1.8729,1.8175,1.7493,1.6704,1.5847,1.4967,1.4099,1.3283,1.2549,1.1905,1.1352,1.0891,1.0516,1.0209,0.9941,0.9689,0.9441,0.9191
"BHS",10.5039,10.3213,9.9612,9.6113,9.2716,8.9422,8.623,8.314,8.0152,7.7265,7.4479,7.1793,6.9204,6.6709,6.4304,6.1985,5.9749,5.7593,5.5514,5.3507,5.1569,4.9698,4.7894,4.6155,4.4478,4.2861,4.1301,3.9799,3.8352,3.6956,3.5607,3.4301,3.3036,3.1813,3.0636,2.9508,2.8433,2.742,2.6474,2.56,2.4816,2.4139,2.3569,2.3089,2.2676,2.2286,2.187,2.139,2.0827,2.0178,1.9456,1.8695,1.7942,1.7237,1.6597,1.6034,1.5548,1.5119,1.473,1.4373,1.4038,1.3718,1.3409,1.3106,1.2806,1.2508
"BIH",22.9249,22.2353,20.8891,19.6088,18.3944,17.246,16.1641,15.1485,14.1993,13.317,12.5014,11.7511,11.0625,10.4294,9.8423,9.2888,8.7557,8.235,7.7217,7.2132,6.7117,6.2241,5.7612,5.332,4.9401,4.5896,4.2828,4.0154,3.7809,3.5738,3.3839,3.1998,3.0153,2.8284,2.6405,2.4634,2.3144,2.2053,2.1399,2.1126,2.1061,2.0963,2.0619,1.99,1.8789,1.7374,1.583,1.4384,1.3209,1.2363,1.1851,1.1615,1.152,1.1451,1.1359,1.121,1.0995,1.0738,1.046,1.0161,0.9841,0.9504,0.9156,0.8809,0.8468,0.8144
"BLR",15.7867,14.9663,13.3913,11.9478,10.6358,9.4549,8.404,7.4799,6.6775,5.9886,5.4023,4.9058,4.4843,4.1226,3.8079,3.5324,3.294,3.0955,2.937,2.8128,2.7199,2.6571,2.6216,2.6079,2.6079,2.6122,2.6124,2.6033,2.5815,2.5443,2.4909,2.4237,2.349,2.273,2.1987,2.1289,2.065,2.0071,1.9553,1.9105,1.8757,1.8537,1.8436,1.8421,1.8445,1.8423,1.8259,1.7889,1.7282,1.644,1.5402,1.4241,1.3054,1.1923,1.0888,0.996,0.9123,0.8334,0.7565,0.6824,0.6131,0.5516,0.5003,0.4603,0.4312,0.4116
"BLZ",14.3206,14.1324,13.7611,13.4002,13.0496,12.7093,12.3787,12.0572,11.7434,11.4353,11.1302,10.8258,10.5199,10.2118,9.9022,9.5946,9.2937,9.0035,8.7269,8.4639,8.214,7.9753,7.743,7.5126,7.2806,7.0409,6.7873,6.5197,6.2409,5.9556,5.6733,5.4058,5.1625,4.9492,4.767,4.6141,4.4847,4.3681,4.2538,4.1359,4.0074,3.863,3.7042,3.5343,3.3565,3.177,3.004,2.8448,2.7045,2.5851,2.4863,2.4053,2.3354,2.2708,2.2083,2.1456,2.0818,2.0176,1.9536,1.8894,1.8245,1.7588,1.6927,1.6272,1.5626,1.4999
"BOL",30.3692,30.236,29.9642,29.6814,29.3874,29.0825,28.7664,28.4392,28.1008,27.7509,27.3894,27.016,26.6306,26.2329,25.823,25.3992,24.9596,24.5045,24.036,23.5574,23.0723,22.5847,22.099,21.6198,21.1511,20.6972,20.2612,19.8422,19.438,19.0468,18.6654,18.2898,17.9155,17.5389,17.1577,16.7709,16.3785,15.983,15.5867,15.1904,14.7949,14.4005,14.0077,13.6171,13.2294,12.8454,12.4655,12.09,11.7192,11.3538,10.9939,10.639,10.2895,9.9459,9.6094,9.2826,8.9683,8.6675,8.3803,8.1057,7.8409,7.5822,7.3262,7.0703,6.8138,6.5566
